_id,_name,_region,_time,_text,_followers,_reposts,_comments,_likes
5507836092,橙新聞,Unknown,01/09/2024,【｜国家队代表团与600名澳门运动员交流，全红婵潘展乐等分享经验】巴黎奥运内地健儿代表团昨结束港访行程，转往澳门，今天进行访澳第二天活动。国家队代表团上午在凼仔奥林匹克体育中心与澳门青少年运动员互动交流，分享运动员生涯心得。全红婵回应提问时指，在训练过程中遇到失败时不能着急，要和教练多沟通，慢慢解决问题。在奥运打破世界纪录夺金的潘展乐指，目前首要防止伤病，接下来希望能够再突破100米自由泳，让全世界、包括他自己，看到人类在这个项目的极限。,66.7万,3,6,262
7321095940,旋转木马和萌萌莎,河北,01/09/2024,艺术体操的妹妹被骂问题出在cp粉身上？本末倒置吧cp粉还能嗑是为什么？不是因为孙颖莎发了微博自己和王楚钦只是搭档和朋友王楚钦不紧接着马上配合表态吗？王楚钦要是也马上站出来澄清双方关系明确表示是的，我和孙颖莎是并肩作战的搭档和好朋友谁还能打着孙颖莎cp粉的幌子去骂其他女孩子？把孙颖莎推到风口浪尖引起孙颖莎和其他女性雌竞和对立男方却美美隐身以交友自由自己是受害者姿态自居请问孙颖莎凭什么受此无妄之灾？她已经澄清了和王楚钦只是搭档和朋友关系了OK？没在孙颖莎明确表态双方只是搭档和好友关系后紧接着一起表态的是王楚钦关孙颖莎什么事？欺人太甚！欺人太甚！欺人太甚！,4397,0,6,98
5325629112,翠门毒球,江苏,01/09/2024,小朋友总是天生会亲近能给予安全感的人或者事物呢 小妹妹们喜欢粘着楚钦哥哥 当然是因为他人好又帅 宠着小妹妹们咯 单说他欠是不是以偏概全了？？？,6.4万,29,30,1476
7806688256,开心猫猫派,湖南,02/09/2024,看过孙颖莎比赛的人都知道，孙颖莎有一颗在落后情况下仍然松弛果敢的“大心脏”。而不是为了嗑cp胡乱解读孙颖莎的微表情，到底是慌乱还是对无边界问题的反感大家都看得出来。,6695,5,3,284
7250269241,乌梅焦糖冰,浙江,02/09/2024,正常的问题 正常的回答 不正常的恶意解读 不正常的挑拨离间 不如多关注一下王楚钦孙颖莎接下来的比赛以及祝两位今天上午的澳门之行继续玩儿的开心😃,9.8万,2,3,328
1808241905,锅包肉包小豆包,河北,01/09/2024,王楚钦孙颖莎港澳行开心就好一起开心,21.5万,37,5,658
1778758223,新浪看点,Unknown,01/09/2024,昨天大家说王楚钦的vlog没有王楚钦，今天他就自拍了很多，“那我自拍吧”“是这样吗”，他真的有在学，看得我心软软！,3144.3万,4,14,371
6609266566,怡梦繁星Fei,广东,02/09/2024,逗笑整个国乒教练和运动员只需要一个盛李豪和游泳队！台上游泳队: 唱的很认真，台下国乒队: 笑的很猖狂，王楚钦 樊振东你俩笑的最欢，你俩留下来,18万,0,10,54
7186325875,十一月初三Vera,浙江,01/09/2024,哈哈哈哈今天真的爆炸开心，可以美美入睡了,2.2万,30,13,844
6441203794,紫枫林颖,浙江,02/09/2024,闲的没事多看看莎莎这次香港行演讲，采访，还有央视面对面，亚洲唯一女性代表，23岁奥运3金2银，她的成绩有目共睹，都是一拍拍用成绩打到我们面前。莎莎不需要任何捆绑营销，她自身就足够优秀，个人魅力和满满正能量，值得更多的人喜欢。,2.8万,1,3,238
